Date,Description,Out,In,Balance,Calculated balance,Diff,Day,Week,transaction_source,predicted_category,confidence
9/23/2025,manchego juice ,1350.0,,,4925,,,,household,Expenses:Food:Groceries,0.3311780336069286
9/23/2025,brie cheese ,950.0,,,3975,,,,household,Expenses:Food:Groceries,0.6524136738952758
9/23/2025,truffle cheese ,820.0,,,3155,,,,household,Expenses:Food:Groceries,0.6599381409686319
9/24/2025,emergency lamp ,398.0,,,2757,,,,household,Expenses:Household Supplies,1.0
9/24/2025,lamp charger ,95.0,,,2662,,,,household,Expenses:Food:Groceries,0.1867902484335016
9/24/2025,shadow toys ,290.0,,,2372,,,,household,Expenses:Household Supplies:Pet Expenses,1.0
9/24/2025,catnip ,200.0,,,2172,,,,household,Expenses:Household Supplies:Pet Expenses,1.0
9/24/2025,shadow dry food ,445.0,,,1727,,,,household,Expenses:Household Supplies:Pet Expenses,0.9220422339940874
9/26/2025,withdraw,,20000.0,,21727,,,,household,Assets:Current Assets:Banks Local:BPI ATM House,0.9206655007989518
9/26/2025,kape barako ,498.0,,,21229,,,,household,Expenses:Food:Groceries,0.1996612714690642
9/26/2025,gloves ,135.0,,,21094,,,,household,Expenses:Health:Sports,0.6585755783205406
9/26/2025,ritual soap ,1200.0,,,19894,,,,household,Expenses:Household Supplies,1.0
